Date,Open,Close,Adj Close,Volume,High_Low
2021-09-16,3613.55,3567.98,3567.98,467985.4919,3676.28/3481.14
2021-09-17,3567.97,3399.81,3399.81,398888.3705,3594.17/3350.07
2021-09-18,3399.89,3435.64,3435.64,315162.7627,3541.96/3368.88
2021-09-19,3435.64,3328.62,3328.62,312948.0013,3456.53/3277.74
2021-09-20,3328.57,,2977.28,917939.57849,3347.82/2913.39
2021-09-21,2977.32,2765.9,2765.9,971519.88941,3105.83/2652.0
2021-09-22,2766.72,3076.92,3076.92,677457.64825,3088.88/2737.54
2021-09-23,3076.92,3152.5,3152.5,459293.8858,3174.5/3033.85
2021-09-24,3152.41,2928.53,2928.53,932090.8856,3158.52/2733.0
2021-09-25,2928.22,2921.73,2921.73,491974.0226,2967.52/2801.57
2021-09-26,2921.84,3059.37,3059.37,703594.478,3115.51/2738.17
2021-09-27,3059.36,2925.59,2925.59,510130.7319,3164.94/2922.71
2021-09-28,2924.76,2804.91,2804.91,511325.4643,2970.82/2789.0
2021-09-29,2805.15,2850.45,2850.45,411305.0893,2950.0/2782.0
2021-09-30,2850.45,3000.61,3000.61,506896.7612,3048.42/2837.19
2021-10-01,3000.62,3309.91,3309.91,648714.6151,3330.0/2969.07
2021-10-02,3309.91,3387.76,3387.76,422551.1811,3469.0/3257.0
2021-10-03,3387.77,3417.73,3417.73,360586.8905,3488.0/3342.51
2021-10-04,3417.73,3386.31,3386.31,485204.642,3437.19/3270.0
2021-10-05,3386.31,3515.27,3515.27,393900.8818,3545.0/3363.78
2021-10-06,3515.48,3574.89,3574.89,618265.5402,3632.11/3342.0
2021-10-07,3574.88,3587.47,3587.47,486102.3591,3653.98/3470.8
2021-10-08,3587.47,3563.13,3563.13,403597.1437,3695.0/3532.0
2021-10-09,3563.13,3574.82,3574.82,361906.7514,3635.0/3538.07
2021-10-10,3574.83,3414.22,3414.22,580223.6302,3604.0/3405.0
2021-10-11,3414.22,3542.12,3542.12,493521.882,3623.8/3371.0
2021-10-12,3542.12,3491.46,3491.46,409377.1918,3547.11/3403.21
2021-10-13,3491.43,3607.42,3607.42,393463.1222,3613.0/3412.7
2021-10-14,3607.41,3790.82,3790.82,481894.1473,3824.0/3586.04
2021-10-15,3790.82,3868.99,3868.99,504321.732,3907.77/3734.1
2021-10-16,3868.38,3829.96,3829.96,373727.8549,3971.0/3803.56
2021-10-17,3829.96,3846.85,3846.85,368898.9831,3919.19/3640.0
2021-10-18,3847.0,3744.96,3744.96,401819.9734,3893.14/3676.0
2021-10-19,3744.96,3877.03,3877.03,341268.3723,3886.89/3732.0
2021-10-20,3876.98,4161.15,4161.15,537383.09732,4169.0/3828.05
2021-10-21,4161.37,4052.99,4052.99,798566.55805,4375.0/4013.13
2021-10-22,4053.0,3972.2,3972.2,463222.5428,4167.41/3888.0
2021-10-23,3972.19,4167.12,4167.12,326576.9601,4172.0/3937.51
2021-10-24,4167.13,4082.33,4082.33,350115.8386,4186.57/3961.5
2021-10-25,4082.33,4220.37,4220.37,347438.6534,4236.0/4067.71
2021-10-26,4220.36,4131.52,4131.52,414498.1599,4297.0/4090.21
2021-10-27,4131.52,3922.0,3922.0,704604.25,4307.0/3909.0
2021-10-28,3921.99,4286.02,4286.02,626378.5055,4295.0/3890.17
2021-10-29,4286.01,4418.89,4418.89,559231.07691,4460.47/4265.97
2021-10-30,4418.89,4322.68,4322.68,340223.069,4434.06/4232.2
2021-10-31,4322.68,4287.21,4287.21,412856.2893,4399.14/4164.35
2021-11-01,4287.48,4319.43,4319.43,417620.7073,4386.58/4146.3
2021-11-02,4319.43,4589.89,4589.89,468184.79301,4599.6/4284.43
2021-11-03,4589.68,,4603.35,448658.35125,4665.87/4455.0
2021-11-04,4603.35,4532.32,4532.32,368218.25695,4606.65/4420.08
2021-11-05,4532.31,4474.24,4474.24,305651.7244,4570.05/4438.8
2021-11-06,4474.24,4518.0,4518.0,322154.0973,4530.0/4326.17
2021-11-07,4518.0,4612.59,4612.59,243596.5952,4637.98/4502.37
2021-11-08,4612.59,4807.98,4807.98,391102.31806,4822.97/4612.0
2021-11-09,4807.98,4732.33,4732.33,311267.57998,4838.28/4713.89
2021-11-10,4732.33,4628.78,4628.78,553596.99163,4868.0/4461.93
2021-11-11,4628.68,4719.0,4719.0,303688.9765,4779.0/4576.47
2021-11-12,4719.0,4665.46,4665.46,461580.0415,4809.71/4507.85
2021-11-13,4665.47,4644.28,4644.28,220720.6611,4707.6/4584.08
2021-11-14,4644.27,4626.5,4626.5,245309.0674,4696.05/4514.12
2021-11-15,4626.5,4563.78,4563.78,375421.6601,4772.01/4540.0
2021-11-16,4563.77,4209.76,4209.76,735857.063,4563.77/4103.0
2021-11-17,4209.59,4287.8,4287.8,472852.1842,4299.91/4063.48
2021-11-18,4288.07,3996.9,3996.9,576945.1837,4344.81/3956.44
2021-11-19,3996.9,4294.76,4294.76,420045.0897,4308.97/3973.01
2021-11-20,4294.75,4412.17,4412.17,365584.578,4435.88/4199.86
2021-11-21,4412.17,4258.31,4258.31,340206.3203,4451.0/4242.41
2021-11-22,4259.7,4085.97,4085.97,518501.3338,4320.0/4022.74
2021-11-23,4086.28,4339.44,4339.44,502811.7902,4385.59/4059.62
2021-11-24,4339.45,4269.36,4269.36,448727.0306,4373.94/4167.65
2021-11-25,4270.1,4524.85,4524.85,445868.2434,4550.0/4248.27
2021-11-26,4524.48,4041.2,4041.2,720245.1612,4551.0/3913.0
2021-11-27,4041.2,4095.29,4095.29,275326.5202,4183.66/4028.34
2021-11-28,4095.29,4294.78,4294.78,346471.3551,4298.51/3964.0
2021-11-29,4294.77,4444.53,4444.53,406881.2284,4458.92/4276.89
2021-11-30,4444.54,4630.26,4630.26,743024.4662,4753.0/4346.36
2021-12-01,4630.25,4582.95,4582.95,508198.3105,4778.75/4523.99
2021-12-02,4582.95,4511.21,4511.21,451861.9545,4634.83/4433.0
2021-12-03,4511.35,4215.73,4215.73,677974.8659,4654.88/4032.5
2021-12-04,4215.01,4117.25,4117.25,1111773.1451,4238.59/3503.68
2021-12-05,4117.25,4196.44,4196.44,536325.4413,4248.19/4031.39
2021-12-06,4196.44,4347.59,4347.59,726742.9638,4376.15/3921.0
2021-12-07,4347.57,4306.4,4306.4,420749.751,4425.0/4255.92
2021-12-08,4306.4,4436.91,4436.91,429403.9351,4450.49/4222.95
2021-12-09,4436.91,4105.64,4105.64,462173.711,4488.0/4076.16
2021-12-10,4105.64,3897.94,3897.94,563236.5671,4231.08/3887.37
